Place,Details,Class,WordCount
Mont Saint-Michel,"['fort', 'catholic', 'holy', 'site', 'island', 'manche', 'department', 'two', 'kilometers', 'coast', 'fort', 'bay', 'declared', 'world', 'heritage', 'site', 'mystical', 'isolated', 'island', 'fort', 'conical', 'arrangement', 'small', 'islands', 'made', 'towering', 'granite', 'bay', 'tidal', 'flat', 'tides', 'continuously', 'wash', 'sediment', 'ashore', 'making', 'fort', 'isolated', 'island', 'rises', 'sea', 'tide', 'high', 'quite', 'mysterious', 'tour', 'overview', 'good', 'place', 'stay', 'want', 'catch', 'breathtaking', 'view', 'sunrise', 'dusk', 'get', 'fort', 'michel', 'car', 'embankment', 'road', 'choose', 'walking', 'plank', 'road', 'enjoy', 'beautiful', 'view', 'fort', 'michel', 'surrounded', 'sea', 'tide', 'watching', 'guide', 'watch', 'tide', 'fort', 'main', 'purposes', 'tourists', 'tide', 'season', 'generally', 'spring', 'every', 'year', 'tidal', 'drop', 'high', 'meters', 'parking', 'lot', 'foot', 'mountain', 'submerged', 'tide', 'high', 'since', 'bay', 'little', 'deep', 'water', 'flat', 'bottom', 'sea', 'kilometers', 'away', 'shore', 'low', 'tide', 'usually', 'speed', 'high', 'tide', 'equivalent', 'person', 'walking', 'speed', 'kilometers', 'per', 'hour', 'speed', 'increases', 'kilometers', 'per', 'hour', 'wind', 'every', 'evening', 'tide', 'atlantic', 'ocean', 'rushed', 'like', 'galloping', 'horse', 'submerging', 'quicksand', 'side', 'mountain', 'holy', 'mountain', 'suddenly', 'turned', 'ocean', 'hours', 'high', 'tide', 'tide', 'low', 'low', 'tide', 'bay', 'often', 'starts', 'suddenly', 'maybe', 'minutes', 'ago', 'sea', 'endless', 'unfathomable', 'suddenly', 'sea', 'receded', 'distance', 'beach', 'bare', 'color', 'beach', 'everywhere', 'special', 'quicksand', 'visiting', 'abbey', 'fort', 'wonder', 'natural', 'world', 'abbey', 'mountain', 'supreme', 'position', 'minds', 'christians', 'name', 'comes', 'archangel', 'cardinal', 'time', 'dreamed', 'sandbar', 'sea', 'three', 'consecutive', 'days', 'practicing', 'nearby', 'indicating', 'church', 'abbey', 'century', 'integrated', 'variety', 'architectural', 'styles', 'main', 'building', 'fort', 'stone', 'ancient', 'city', 'wall', 'full', 'strong', 'medieval', 'atmosphere', 'golden', 'archangel', 'statue', 'top', 'shines', 'sun', 'parquet', 'marble', 'floor', 'main', 'hall', 'gorgeous', 'towering', 'vault', 'simple', 'elegant', 'cloisters', 'gardens', 'next', 'main', 'hall', 'quiet', 'ideal', 'taking', 'break', 'contemplating', 'viewing', 'platform', 'cloister', 'overlook', 'beautiful', 'view', 'church', 'street', 'beach', 'visit', 'museum', 'look', 'history', 'fort', 'visit', 'nearby', 'museum', 'various', 'historical', 'materials', 'exhibits', 'related', 'saint', 'michel', 'fort', 'saint', 'michel', 'abbey', 'tides', 'navigation', 'interesting', 'addition', 'foothills', 'mountain', 'full', 'various', 'shops', 'restaurants', 'storefront', 'decoration', 'carved', 'copper', 'signboards', 'distinctive', 'enough', 'time', 'may', 'wish', 'stroll']",None Related,617
Montmartre,"['area', 'full', 'alleys', 'stairs', 'full', 'romance', 'angel', 'amelie', 'shot', 'attractions', 'love', 'wall', 'hill', 'square', 'montmartre', 'museum', 'montmartre', 'cemetery', 'attracted', 'tourists', 'sit', 'front', 'basilica', 'sacred', 'heart', 'overlooking', 'bustling', 'paris', 'ask', 'street', 'painters', 'paint', 'place', 'du', 'château', 'leave', 'message', 'make', 'wish', 'front', 'love', 'wall', 'filled', 'love', 'languages', 'various', 'languages', 'romantic', 'atmosphere']",None Related,97
Montparnasse Tower,"['height', 'meters', 'montparnasse', 'tower', 'second', 'highest', 'building', 'paris', 'eiffel', 'tower', 'skyscraper', 'urban', 'area', 'montparnasse', 'tower', 'left', 'bank', 'seine', 'paris', 'complex', 'buildings', 'consisting', 'palais', 'de', 'chaillot', 'trocadéro', 'eiffel', 'tower', 'champ', 'de', 'mars', 'paris', 'military', 'academy', 'militaire', 'extension', 'central', 'axis', 'historical', 'background', 'location', 'montparnasse', 'tower', 'originally', 'paris', 'train', 'station', 'station', 'relocated', 'construction', 'building', 'began', 'due', 'urban', 'planning', 'considerations', 'floor', 'panoramic', 'sightseeing', 'roof', 'open', 'tourists', 'climbing', 'great', 'way', 'metropolis', 'like', 'paris', 'weather', 'clear', 'city', 'scenery', 'forty', 'kilometers', 'away', 'observation', 'deck', 'elevators', 'montparnasse', 'tower', 'elevator', 'leads', 'specified', 'floor', 'need', 'buy', 'ticket', 'elevator', 'get', 'elevator', 'staff', 'come', 'forward', 'photos', 'tourists', 'select', 'photos', 'computer', 'background', 'photos', 'night', 'view', 'paris', 'like', 'pay', 'floor', 'observation', 'deck', 'indoor', 'observation', 'deck', 'floor', 'specially', 'designed', 'tourists', 'rainproof', 'windproof', 'warm', 'winter', 'cool', 'summer', 'visitors', 'enjoy', 'beautiful', 'scenery', 'paris', 'large', 'glass', 'windows', 'panoramic', 'view', 'degrees', 'paris', 'avenues', 'parks', 'famous', 'buildings', 'whole', 'paris', 'feet', 'tour', 'assistants', 'observation', 'deck', 'panel', 'introduces', 'reality', 'paris', 'total', 'panels', 'touch', 'screen', 'discover', 'sights', 'click', 'finger', 'zoom', 'specific', 'buildings', 'introductions', 'permanent', 'exhibitions', 'platform', 'photos', 'telling', 'untold', 'story', 'paris', 'come', 'children', 'rows', 'interactive', 'areas', 'children', 'learn', 'system', 'multiple', 'languages', 'entertaining', 'paris', 'high', 'souvenir', 'shop', 'floor', 'different', 'souvenirs', 'small', 'gifts', 'related', 'montparnasse', 'tower', 'paris', 'buildings', 'jewelry', 'books', 'sweets', 'etc', 'panorama', 'cafe', 'floor', 'simply', 'good', 'place', 'sightseeing', 'leisure', 'cafe', 'called', 'highest', 'panoramic', 'cafe', 'europe', 'visitors', 'observation', 'deck', 'open', 'visiting', 'hours', 'visitors', 'break', 'enjoy', 'sandwiches', 'salads', 'toast', 'cheese', 'ham', 'sandwiches', 'fresh', 'cold', 'drinks', 'hot', 'drinks', 'snacks', 'certain', 'pursuit', 'food', 'come', 'restaurant', 'floor', 'paris', 'sky', 'euros', 'breakfast', 'restaurant', 'accepts', 'reservations', 'phone', 'details', 'please', 'refer', 'official', 'website', 'http', 'roof', 'terrace', 'reaches', 'floor', 'walk', 'floors', 'roof', 'terrace', 'still', 'enjoy', 'scenery', 'standing', 'west', 'side', 'terrace', 'eiffel', 'tower', 'center', 'paris', 'reach', 'second', 'third', 'floors', 'north', 'invalides', 'sacre', 'coeur', 'charles', 'de', 'gaulle', 'airport', 'distance', 'foot', 'montparnasse', 'cemetery', 'bastille', 'place', 'july', 'monument', 'vincennes', 'forest', 'east', 'side', 'observation', 'deck', 'looking', 'south', 'far', 'subway', 'lines', 'sail', 'park', 'meudon', 'observatory', 'distance', 'enjoying', 'beauty', 'paris', 'around', 'building', 'elevator', 'ground', 'floor', 'building', 'commercial', 'center', 'two', 'lafayette', 'department', 'stores', 'galerieslafayette', 'south', 'building', 'meters', 'foot', 'théâtred', 'de', 'la', 'gaîté', 'théâtr', 'du', 'montparnasse', 'well', 'various', 'museums', 'interested', 'check', 'information', 'performances', 'exhibitions', 'official', 'website', 'advance', 'go', 'east', 'along', 'road', 'entrance', 'building', 'walk', 'meters', 'reach', 'luxembourg', 'garden', 'walk', 'large', 'park', 'paris', 'enjoy', 'sculptures', 'park', 'building', 'cafes', 'restaurants', 'along', 'way', 'starbucks', 'corner', 'far', 'building', 'several', 'restaurants', 'avenue', 'montparnasse', 'meters', 'away', 'lacoupole', 'le', 'dôme']",None Related,794
Monument to the Discoveries,"['nautical', 'monument', 'known', 'great', 'discovery', 'monument', 'stood', 'beside', 'imperial', 'square', 'since', 'inauguration', 'beautiful', 'upright', 'posture', 'modern', 'design', 'made', 'new', 'landmarks', 'lisbon', 'monument', 'commemorate', 'anniversary', 'death', 'alfonso', 'henry', 'prince', 'navigation', 'distance', 'solid', 'base', 'monument', 'seems', 'white', 'stone', 'sailboat', 'riding', 'wind', 'waves', 'sea', 'imaginative', 'details', 'delicate', 'stone', 'carvings', 'figures', 'base', 'exquisite', 'described', 'masterpieces', 'monument', 'engraved', 'statues', 'henry', 'da', 'gama', 'sailors', 'sides', 'navigators', 'accompanied', 'well', 'famous', 'generals', 'missionaries', 'scientists', 'portuguese', 'history', 'behind', 'monument', 'large', 'cross', 'symbolizes', 'religious', 'beliefs', 'monument', 'meters', 'high', 'floors', 'inside', 'rooms', 'various', 'functions', 'visitors', 'watch', 'lisbon', 'exhibits', 'climb', 'high', 'place', 'overlook', 'surrounding', 'squares', 'harbour']",None Related,195
Moorish Castle,"['moorish', 'castle', 'hilltop', 'parish', 'santa', 'maria', 'san', 'michael', 'sintra', 'castle', 'europe', 'across', 'bank', 'pena', 'palace', 'listed', 'portuguese', 'national', 'monument', 'become', 'tourist', 'attraction', 'sintra', 'moorish', 'castle', 'moors', 'century', 'middle', 'part', 'steps', 'collapsed', 'early', 'despite', 'say', 'towering', 'building', 'breathless', 'climbing', 'city', 'wall', 'unobstructed', 'view', 'surrounding', 'scenery', 'within', 'city', 'wall', 'natural', 'view', 'hides', 'collapsed', 'house', 'first', 'impression', 'chinese', 'came', 'castle', 'first', 'time', 'moorish', 'castle', 'like', 'great', 'wall', 'china', 'twists', 'turns', 'bunkers', 'castle', 'top', 'sintra', 'mountains', 'surrounded', 'walls', 'hundreds', 'meters', 'long', 'lost', 'use', 'military', 'defense', 'early', 'centuries', 'difficult', 'climb', 'visitors', 'reach', 'top', 'castle', 'portuguese', 'flag', 'stands', 'tall', 'top', 'castle', 'vast', 'atlantic', 'ocean', 'small', 'town', 'sintra', 'distance', 'clear', 'day', 'visitors', 'ericeira', 'mafra']",None Related,233
Mortuary Temple of Hatshepsut,"['temple', 'famous', 'queen', 'hatshepsut', 'father', 'thutmose', 'egyptian', 'history', 'valley', 'surrounded', 'cliffs', 'two', 'long', 'wide', 'slopes', 'connect', 'three', 'flat', 'wide', 'colonnade', 'buildings', 'series']",None Related,41
Moulin Rouge,"['moulin', 'rouge', 'pigalle', 'area', 'montmartre', 'district', 'paris', 'moulin', 'rouge', 'big', 'outside', 'red', 'windmill', 'roof', 'symbol', 'conspicuous', 'historical', 'background', 'moulin', 'rouge', 'founded', 'historic', 'show', 'paris', 'accommodate', 'attract', 'audiences', 'world', 'nicole', 'kidman', 'starred', 'moulin', 'rouge', 'make', 'famous', 'exciting', 'cabaret', 'show', 'moulin', 'rouge', 'known', 'birthplace', 'modern', 'cancan', 'incorporates', 'acrobatic', 'athletic', 'skills', 'lively', 'rhythm', 'kicking', 'high', 'thighs', 'amazing', 'slightly', 'crazy', 'addition', 'sky', 'show', 'attractive', 'exquisite', 'costumes', 'dancers', 'italian', 'design', 'masters', 'stage', 'design', 'quite', 'elegant', 'scenes', 'varied', 'dancers', 'come', 'world', 'performance', 'level', 'high', 'period', 'acrobatics', 'magic', 'interspersed', 'waiting', 'performance', 'amazing', 'exciting', 'night', 'performances', 'moulin', 'rouge', 'song', 'dance', 'show', 'usually', 'starts', 'pm', 'two', 'three', 'performances', 'every', 'night', 'performance', 'time', 'hour', 'minutes', 'performances', 'including', 'dinner', 'generally', 'around', 'pm', 'please', 'refer', 'official', 'website', 'specific', 'time', 'watching', 'performance', 'moulin', 'rouge', 'allow', 'coats', 'coats', 'brought', 'room', 'coats', 'must', 'stored', 'entering', 'venue']",None Related,255
Mount Eden,"['mount', 'eden', 'kilometers', 'south', 'auckland', 'city', 'center', 'meters', 'high', 'highest', 'among', 'volcanic', 'cones', 'auckland', 'natural', 'commanding', 'height', 'auckland', 'lookout', 'top', 'mountain', 'enjoy', 'city', 'view', 'auckland', 'mount', 'eden', 'named', 'george', 'eden', 'earl', 'auckland', 'erupted', 'several', 'times', 'recent', 'estimated', 'years', 'ago', 'hill', 'formed', 'accumulation', 'volcanic', 'ejecta', 'around', 'crater', 'distance', 'looks', 'like', 'large', 'inverted', 'conical', 'bowl', 'bottom', 'pit', 'become', 'lush', 'green', 'space', 'special']",None Related,121
Mount Fuji,"['mount', 'fuji', 'means', 'volcano', 'japanese', 'spans', 'shizuoka', 'yamanashi', 'prefectures', 'mountain', 'regarded', 'holy', 'mt', 'japanese', 'dormant', 'since', 'eruption', 'dormant', 'volcano', 'symbol', 'japan', 'course', 'want', 'experience', 'natural', 'scenery', 'mt', 'fuji', 'surroundings', 'close', 'fuji', 'five', 'lakes', 'area', 'northern', 'mountain', 'mt', 'fuji', 'good', 'choice', 'reflection', 'mt', 'fuji', 'kawaguchi', 'lake', 'classic', 'scene', 'worth', 'seeing', 'nearby', 'oshino', 'hachi', 'sea', 'famous', 'peace', 'park', 'southeast', 'good', 'choice', 'viewing', 'mount', 'fuji', 'sunny', 'day', 'cloud', 'cover', 'clearly', 'conical', 'peak', 'mount', 'fuji', 'autumn', 'winter', 'snow', 'top', 'mountain', 'particularly', 'beautiful', 'every', 'year', 'top', 'mount', 'fuji', 'begins', 'snow', 'melt', 'around', 'june', 'following', 'year', 'residual', 'snow', 'even', 'seen', 'climb', 'mount', 'fuji', 'july', 'august', 'mountain', 'closed', 'seasons', 'four', 'main', 'mountain', 'climbing', 'entrances', 'mount', 'fuji', 'namely', 'fujinomiyaguchi', 'sugoguchi', 'gotembaguchi', 'fujiyoshida', 'kawaguchiko', 'entrance', 'first', 'three', 'shizuoka', 'prefecture', 'divided', 'stages', 'foot', 'mountain', 'top', 'mountain', 'stage', 'called', 'station', 'place', 'tourists', 'rest', 'tourists', 'bus', 'lake', 'kawaguchi', 'fifth', 'station', 'mount', 'fuji', 'middle', 'mountain', 'start', 'mountaineering', 'climbing', 'top', 'mount', 'fuji', 'beautiful', 'volcanic', 'lake', 'formed', 'two', 'craters', 'surrounded', 'peaks', 'along', 'crater', 'tour', 'weather', 'station', 'commanding', 'height', 'japan', 'may', 'wish', 'group', 'photo', 'two', 'shrines', 'namely', 'kusushi', 'shrine', 'sengen', 'shrine', 'post', 'office', 'top', 'mountain', 'send', 'postcard', 'friends', 'relatives', 'addition', 'watching', 'sunrise', 'mount', 'fuji', 'unforgettable', 'beautiful', 'experience', 'addition', 'mount', 'fuji', 'scenery', 'around', 'mountain', 'good', 'caves', 'left', 'volcanic', 'eruption', 'northern', 'foot', 'mountain', 'various', 'shapes', 'shapes', 'continue', 'exhale', 'among', 'walls', 'fuyue', 'feng', 'cave', 'covered', 'icicles', 'called', 'wannianxue', 'southern', 'foothills', 'vast', 'plateau', 'pasture', 'beautiful', 'scenery', 'year', 'round', 'places', 'leisure', 'activities', 'camping', 'swimming', 'fishing', 'summer', 'skiing', 'skating', 'winter']",None Related,482
Mount John,"['mount', 'john', 'commanding', 'height', 'town', 'lake', 'tekapo', 'top', 'mountain', 'overlook', 'panoramic', 'view', 'lake', 'tekapo', 'town', 'famous', 'point', 'mtjohnuniversityobservatory', 'top', 'mountain', 'experience', 'starry', 'sky', 'tekapo', 'night']",None Related,55
Mount Kilimanjaro,"['mount', 'kilimanjaro', 'junction', 'tanzania', 'kenya', 'height', 'meters', 'area', 'square', 'kilometers', 'kilimanjaro', 'swahili', 'means', 'shining', 'mountain', 'bright', 'beautiful', 'mountain', 'standing', 'rolling', 'plain', 'far', 'indian', 'ocean', 'known', 'roof', 'temple', 'god', 'peak', 'covered', 'snow', 'year', 'round', 'forming', 'spectacle', 'equatorial', 'mountains', 'admire', 'peak', 'due', 'influence', 'hemingway', 'famous', 'novel', 'snows', 'kilimanjaro', 'hemingway', 'outlines', 'magical', 'mood', 'strokes', 'beginning', 'however', 'global', 'warming', 'effect', 'kilimanjaro', 'snow', 'melting', 'could', 'disappear', 'completely', 'within', 'years', 'compared', 'alone', 'kilimanjaro', 'snow', 'cap', 'shrunk', 'percent']",None Related,138
Mount Lycabettus,"['lycabettus', 'meters', 'sea', 'level', 'commanding', 'height', 'athens', 'seen', 'almost', 'every', 'place', 'athens', 'top', 'lycabettus', 'hill', 'wide', 'view', 'good', 'place', 'overlook', 'panoramic', 'view', 'city', 'athens', 'enjoy', 'sunset', 'weather', 'clear', 'overlook', 'port', 'peres', 'western', 'suburbs', 'athens', 'gulf', 'saronicus', 'theatre', 'hill', 'stone', 'church', 'st', 'george', 'rock', 'church', 'restaurants', 'view', 'choose', 'walk', 'viewing', 'platform', 'top', 'mountain', 'recommend', 'way', 'cable', 'car']",None Related,121
Mount Victoria,"['mount', 'victoria', 'meters', 'high', 'east', 'side', 'wellington', 'city', 'used', 'lookout', 'past', 'maori', 'called', 'matairangi', 'means', 'place', 'look', 'sky', 'viewing', 'platform', 'mountvictorialookout', 'top', 'mountain', 'good', 'place', 'panoramic', 'view', 'wellington', 'beautiful', 'harbour', 'scenery', 'mount', 'victoria', 'filming', 'location', 'first', 'film', 'lord', 'rings', 'trilogy', 'escaped', 'hobbit', 'escaped', 'pursuit', 'black', 'knight', 'dense', 'forest', 'mountainside', 'far', 'bustling', 'city', 'wellington', 'minutes', 'away', 'oriental', 'parade', 'oriental', 'parade', 'majoribanks', 'street', 'majoribanks', 'street', 'go', 'mountain', 'along', 'walking', 'path', 'sides', 'winding', 'road', 'small', 'villas', 'wellington', 'wealthy', 'modern', 'house', 'lot', 'personality', 'beautiful', 'arriving', 'observation', 'deck', 'top', 'mountain', 'whole', 'picture', 'seaside', 'city', 'ferry', 'boats', 'crossing', 'bay', 'weather', 'fine', 'clearly', 'wellington', 'airport', 'planes', 'taking', 'landing', 'far', 'viewing', 'platform', 'triangular', 'cone', 'monument', 'famous', 'antarctic', 'explorer', 'major', 'general', 'richard', 'byrd', 'follow', 'extended', 'line', 'edge', 'triangular', 'cone', 'night', 'find', 'location', 'southern', 'cross']",None Related,255
